A1BG	A1BG
A1BG-AS1	A1BG-AS1
A1CF	A1CF
A2M	A2M
A2M-AS1	A2M-AS1
A2ML1	A2ML1
A2ML1-AS1	A2ML1-AS1
A2MP1	A2MP1
A4GALT	A4GALT
AAAS	AAAS
AACS	AACS
AACSP1	AACSP1
AADAC	AADAC
AADACL2	AADACL2
AADAT	AADAT
AAED1	AAED1
AAGAB	AAGAB
AAK1	AAK1
AAMDC	AAMDC
AAMP	AAMP
AANAT	AANAT
AAR2	AAR2
AARD	AARD
AARS	AARS
AARS2	AARS2
AARSD1	AARSD1
AASDH	AASDH
AASDHPPT	AASDHPPT
AASS	AASS
AATF	AATF
AATK	AATK
AB015752.3	AB015752.3
AB015752.4	AB015752.4
AB019441.29	AB019441.29
ABAT	ABAT
ABC7-42389800N19.1	ABC7-42389800N19.1
ABCA1	ABCA1
ABCA10	ABCA10
ABCA11P	ABCA11P
ABCA12	ABCA12
ABCA13	ABCA13
ABCA17P	ABCA17P
ABCA2	ABCA2
ABCA3	ABCA3
ABCA4	ABCA4
ABCA5	ABCA5
ABCA6	ABCA6
ABCA7	ABCA7
ABCA8	ABCA8
ABCA9	ABCA9
ABCA9-AS1	ABCA9-AS1
ABCB1	ABCB1
ABCB10	ABCB10
ABCB11	ABCB11
ABCB4	ABCB4
ABCB5	ABCB5
ABCB6	ABCB6
ABCB7	ABCB7
ABCB8	ABCB8
ABCB9	ABCB9
ABCC1	ABCC1
ABCC10	ABCC10
ABCC11	ABCC11
ABCC12	ABCC12
ABCC13	ABCC13
ABCC2	ABCC2
ABCC3	ABCC3
ABCC4	ABCC4
ABCC5	ABCC5
ABCC6	ABCC6
ABCC6P1	ABCC6P1
ABCC6P2	ABCC6P2
ABCC8	ABCC8
ABCC9	ABCC9
ABCD1	ABCD1
ABCD2	ABCD2
ABCD3	ABCD3
ABCD4	ABCD4
ABCE1	ABCE1
ABCF1	ABCF1
ABCF2	ABCF2
ABCF2P1	ABCF2P1
ABCF3	ABCF3
ABCG1	ABCG1
ABCG2	ABCG2
ABCG5	ABCG5
ABCG8	ABCG8
ABHD1	ABHD1
ABHD10	ABHD10
ABHD11	ABHD11
ABHD12	ABHD12
ABHD12B	ABHD12B
ABHD13	ABHD13
ABHD14A	ABHD14A
ABHD14B	ABHD14B
ABHD15	ABHD15
ABHD16A	ABHD16A
ABHD16B	ABHD16B
ABHD17A	ABHD17A
ABHD17AP3	ABHD17AP3
ABHD17AP6	ABHD17AP6
ABHD17B	ABHD17B
ABHD17C	ABHD17C
ABHD2	ABHD2
ABHD3	ABHD3
ABHD4	ABHD4
ABHD5	ABHD5
ABHD6	ABHD6
ABHD8	ABHD8
ABI1	ABI1
ABI2	ABI2
ABI3	ABI3
ABI3BP	ABI3BP
ABL1	ABL1
ABL2	ABL2
ABLIM1	ABLIM1
ABLIM2	ABLIM2
ABLIM3	ABLIM3
ABO	ABO
ABR	ABR
ABRA	ABRA
ABRACL	ABRACL
ABT1	ABT1
ABTB1	ABTB1
ABTB2	ABTB2
AC000036.4	AC000036.4
AC000067.1	AC000067.1
AC000068.5	AC000068.5
AC000078.5	AC000078.5
AC000081.2	AC000081.2
AC000089.3	AC000089.3
AC000110.1	AC000110.1
AC000120.7	AC000120.7
AC000123.4	AC000123.4
AC002044.4	AC002044.4
AC002055.4	AC002055.4
AC002056.3	AC002056.3
AC002056.5	AC002056.5
AC002064.4	AC002064.4
AC002064.5	AC002064.5
AC002066.1	AC002066.1
AC002069.5	AC002069.5
AC002075.4	AC002075.4
AC002076.10	AC002076.10
AC002116.7	AC002116.7
AC002117.1	AC002117.1
AC002128.5	AC002128.5
AC002306.1	AC002306.1
AC002310.10	AC002310.10
AC002310.12	AC002310.12
AC002310.7	AC002310.7
AC002331.1	AC002331.1
AC002366.3	AC002366.3
AC002383.2	AC002383.2
AC002395.1	AC002395.1
AC002398.11	AC002398.11
AC002398.12	AC002398.12
